"Source:","/home/cvaladez/Dropbox/SAE_Crucial_Resources_Only/F20/F20_Schematics/Schematics/F20_Logic_Diagrams/F20_ROOT/F20_ROOT.sch"
"Date:","Tue 06 Oct 2020 10:30:53 PM CDT"
"Tool:","Eeschema 5.1.5+dfsg1-2build2"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","75"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Brand","Header Datasheet","Name","PN","Plug Datasheet","SN"
"","","F1","100A","FSAE_Library:Fuse","","~","","","","","",""
"","","F2","10A","FSAE_Library:Fuse","","~","","","","","",""
"","","F3","3A","FSAE_Library:Fuse","","~","","","","","",""
"","","F4","30A","FSAE_Library:Fuse","","~","","","","","",""
"","","F5","30A","FSAE_Library:Fuse","","~","","","","","",""
"","","F6","20A","FSAE_Library:Fuse","","~","","","","","",""
"","","F7","30A","FSAE_Library:Fuse","","~","","","","","",""
"","","F8","30A","FSAE_Library:Fuse","","~","","","","","",""
"","","F9","10A","FSAE_Library:Fuse","","~","","","","","",""
"","","F10","3A","FSAE_Library:Fuse","","~","","","","","",""
"","","F11","3A","FSAE_Library:Fuse","","~","","","","","",""
"","","F12","20A","FSAE_Library:Fuse","","~","","","","","",""
"","","F13","5A","FSAE_Library:Fuse","","~","","","","","",""
"","","F14","2A","FSAE_Library:Fuse","","~","","","","","",""
"","","F15","1A","FSAE_Library:Fuse","","~","","","","","",""
"","","F16","5A","FSAE_Library:Fuse","","~","","","","","",""
"","","K1","MicroRelay","FSAE_Library:MicroRelay","","https://www.waytekwire.com/item/75530/MICRO-RELAY-M3-12V-SPST-30A/","","","Main","V23374-A1601-X003","",""
"","","K2","MicroRelay","FSAE_Library:MicroRelay","","https://www.waytekwire.com/item/75530/MICRO-RELAY-M3-12V-SPST-30A/","","","Fan","V23374-A1601-X003","",""
"","","K3","MicroRelay","FSAE_Library:MicroRelay","","https://www.waytekwire.com/item/75530/MICRO-RELAY-M3-12V-SPST-30A/","","","Fuel Pump","V23374-A1601-X003","",""
"","","K4","MicroRelay","FSAE_Library:MicroRelay","","https://www.waytekwire.com/item/75530/MICRO-RELAY-M3-12V-SPST-30A/","","","Injectors","V23374-A1601-X003","",""
